fiscal_year,SubCustomer,EntitySizeText,AnyEntityUSplaceOfPerformance,IsEntityAbove1990constantReportingThreshold,IsEntityAbove2016constantReportingThreshold,EntityCount,AllContractorCount,SumOfNumberOfActions,SumOfObligatedAmount
2002,DLA,Small,0,0,0,15,15,24,-1221858.913250715
2002,DLA,Small,0,0,1,325,326,416,15345113.713740978
2002,DLA,Small,0,1,1,4269,4643,39062,7064049960.506605
2002,DLA,Small,1,1,1,1,1,1,93715.10281901131
2002,DLA,Small,NULL,0,0,40,40,0,0
2002,DLA,Small,NULL,0,1,1,1,0,0
2002,DLA,Small,NULL,1,1,12,12,0,0
2002,DLA,Large+,0,0,1,2,2,3,119105.27032548006
2002,DLA,Large+,0,1,1,117,164,29421,7756780296.881384
2002,DLA,Large+,1,0,1,1,1,1,35670.706795587634
2002,DLA,Large+,1,1,1,12,15,301,1679256336.647147
2002,DLA,Medium,0,0,0,3,3,5,-569459.349039902
2002,DLA,Medium,0,0,1,22,22,25,988729.4021517092
2002,DLA,Medium,0,1,1,510,528,4519,2099361213.4005177
2002,DLA,Medium,1,0,0,1,1,2,34141.359117526896
2002,DLA,Medium,1,0,1,8,8,8,305081.02955195424
2002,DLA,Medium,1,1,1,147,149,1285,1239213369.7398884
2002,DLA,Medium,NULL,0,0,10,10,0,0
2002,DLA,Medium,NULL,1,1,1,2,13,10024819.556039765
2002,DLA,NULL,NULL,NULL,NULL,3,3,26,1758092.0604657498
2002,DLA,Unlabeled Vendor,NULL,0,0,1,1,0,0
2002,MDA,Small,0,1,1,61,61,296,152711358.02805394
2002,MDA,Large+,0,1,1,18,18,403,3215661636.388397
2002,MDA,Medium,0,1,1,3,3,11,4787036.633528531
2002,MDA,Medium,1,1,1,2,2,10,12329374.914884925
2002,MilitaryHealth,Small,0,1,1,6,6,16,4081233.8281356394
2002,MilitaryHealth,Large+,0,0,0,2,2,3,-87329.4293885333
2002,MilitaryHealth,Large+,0,1,1,6,6,214,4083415757.864633
2002,MilitaryHealth,Medium,0,1,1,6,6,144,1610146904.5349314
2002,Navy,Small,0,0,0,352,352,1025,-4822043.85128694
2002,Navy,Small,0,0,1,1392,1393,5091,43338014.81683236
2002,Navy,Small,0,1,1,8738,9275,84188,16746967067.819693
2002,Navy,Small,1,1,1,3,3,27,5228166.961732263
2002,Navy,Small,NULL,0,0,17,17,0,0
2002,Navy,Small,NULL,1,1,1,1,0,0
2002,Navy,Large+,0,1,1,175,252,35410,42487523038.94866
2002,Navy,Large+,1,1,1,6,17,438,382503249.35312545
2002,Navy,Large+,NULL,1,1,1,1,92,12457882.336919516
2002,Navy,Medium,0,0,0,56,56,138,-1427676.6988969087
2002,Navy,Medium,0,0,1,174,174,631,5377717.554133188
2002,Navy,Medium,0,1,1,1256,1321,10672,4047876589.949612
2002,Navy,Medium,1,0,0,92,92,577,-803370.5569930547
2002,Navy,Medium,1,0,1,206,206,1431,10345308.45703391
2002,Navy,Medium,1,1,1,1039,1043,11375,1248795923.0559716
2002,Navy,Medium,NULL,0,0,11,11,2,0
2002,Navy,Medium,NULL,1,1,3,11,329,97754684.73376004
2002,Navy,NULL,NULL,NULL,NULL,7,7,57,6706357.074765082
2002,Navy,Unlabeled Vendor,NULL,1,1,1,1,8,502599.75486858236
2002,NULL,Small,0,1,1,4,4,0,0
2002,NULL,Large+,0,1,1,1,1,0,0
2002,Other DoD,Small,0,0,0,70,70,96,-2266.10377230015
2002,Other DoD,Small,0,0,1,172,172,439,5295264.878115213
2002,Other DoD,Small,0,1,1,1663,1717,8497,3173912879.749421
2002,Other DoD,Small,NULL,0,0,2,2,0,0
2002,Other DoD,Small,NULL,1,1,1,1,1,27236.82418629988
2002,Other DoD,Large+,0,1,1,114,122,10354,5849596737.028462
2002,Other DoD,Large+,1,1,1,1,1,11,23498112.48808389
2002,Other DoD,Medium,0,0,0,4,4,10,8857.41522538472
2002,Other DoD,Medium,0,0,1,31,31,41,910106.2236143267
2002,Other DoD,Medium,0,1,1,260,261,1124,553033081.5742884
2002,Other DoD,Medium,1,0,1,6,6,17,333019.2019610514
2002,Other DoD,Medium,1,1,1,83,83,205,118112743.08865587
2002,Other DoD,Medium,NULL,0,1,1,1,1,14293.885332970176
2002,Other DoD,Medium,NULL,1,1,2,3,5,4150158.545553589
2002,Other DoD,NULL,NULL,NULL,NULL,3,3,75,21539869.263243906
2002,Other DoD,Unlabeled Vendor,NULL,1,1,1,1,34,3478734.849516547
2003,Air Force,Small,0,0,0,168,168,218,120828.85099559001
2003,Air Force,Small,0,0,1,966,966,1379,28918961.646398503
2003,Air Force,Small,0,1,1,7204,7569,40845,13976686662.261127
2003,Air Force,Small,1,0,1,1,1,1,33709.74208205265
2003,Air Force,Small,1,1,1,2,2,2,220836.56287585193
2003,Air Force,Small,NULL,0,0,38,38,2,17176.26620339436
2003,Air Force,Small,NULL,0,1,1,1,0,0
2003,Air Force,Small,NULL,1,1,5,5,0,0
2003,Air Force,Large+,0,0,0,1,1,2,-8294780.168381666
2003,Air Force,Large+,0,0,1,1,1,10,440153.6816784712
2003,Air Force,Large+,0,1,1,163,193,28432,55626765660.83122
2003,Air Force,Large+,1,1,1,4,4,76,82827517.03862087
2003,Air Force,Medium,0,0,0,22,22,23,-1828917.546438594
2003,Air Force,Medium,0,0,1,99,99,146,3886923.6937057334
2003,Air Force,Medium,0,1,1,896,952,5224,3616854329.8142457
2003,Air Force,Medium,1,0,0,4,4,7,-5207518.374983296
2003,Air Force,Medium,1,0,1,110,110,119,3970585.3267406123
2003,Air Force,Medium,1,1,1,719,724,2679,913345549.3785915
2003,Air Force,Medium,NULL,0,0,30,30,3,8833.355606040359
2003,Air Force,Medium,NULL,0,1,5,5,5,67057.32994788187
2003,Air Force,Medium,NULL,1,1,4,4,1,20446.345048777228
2003,Air Force,NULL,NULL,NULL,NULL,6,6,37,18890497.126820795
2003,Air Force,Unlabeled Vendor,1,1,1,1,1,14,3067736.202057998
2003,Army,Small,0,0,0,4166,4171,6850,13338131.765334759
2003,Army,Small,0,0,1,9981,10047,23193,223568177.06802088
2003,Army,Small,0,1,1,15770,17266,140523,33362466933.716427
2003,Army,Small,1,0,0,3,3,3,8218.628892155553
2003,Army,Small,1,0,1,1,1,2,12829.079246291594
2003,Army,Small,1,1,1,9,9,19,5330670.853935587
2003,Army,Small,NULL,0,0,26,26,7,12120.80716290258
2003,Army,Small,NULL,0,1,1,1,1,6949.084591741281
2003,Army,Small,NULL,1,1,5,5,0,0
2003,Army,Large+,0,0,0,3,3,7,3993.050915408259
2003,Army,Large+,0,0,1,2,8,50,2232429.5068822666
2003,Army,Large+,0,1,1,226,319,47759,40810730936.79006
2003,Army,Large+,1,1,1,8,11,742,419703657.6239476
2003,Army,Medium,0,0,0,524,526,890,1058533.7431511427
2003,Army,Medium,0,0,1,1014,1028,1951,29437313.911532808
2003,Army,Medium,0,1,1,2246,2410,21313,7513406998.530002
2003,Army,Medium,1,0,0,81,81,122,-734407.5099559001
2003,Army,Medium,1,0,1,267,267,367,9428154.483495925
2003,Army,Medium,1,1,1,1518,1525,8126,3168863254.1761327
2003,Army,Medium,NULL,0,0,31,31,12,47900.12013898169
2003,Army,Medium,NULL,0,1,9,9,24,196548.042496325
2003,Army,Medium,NULL,1,1,9,9,9,116204.99799545638
2003,Army,NULL,NULL,NULL,NULL,7,7,99,107609735.40024056
2003,Army,Unlabeled Vendor,1,1,1,2,2,8,10035418.949619137
2003,DLA,Small,0,0,0,16,16,13,-3141639.7166911666
2003,DLA,Small,0,0,1,388,388,533,20354397.96872912
2003,DLA,Small,0,1,1,4630,4993,45046,9104011065.08085
2003,DLA,Small,1,1,1,3,3,13,4173892.823733797
2003,DLA,Small,NULL,0,0,126,126,0,0
2003,DLA,Small,NULL,0,1,2,2,0,0
2003,DLA,Small,NULL,1,1,20,20,0,0
2003,DLA,Large+,0,0,0,2,5,52,453517.3058933583
2003,DLA,Large+,0,0,1,3,7,89,5908248.028865429
2003,DLA,Large+,0,1,1,142,174,35672,8969309036.482695
2003,DLA,Large+,1,1,1,13,13,74,1541988095.6835494
2003,DLA,Medium,0,0,0,4,4,2,-1127542.4295068823
