"Fiscal Year","Contracting Agency ID","Product or Service Code","Dollars Obligated"
"2019","1205","D308","$22,133,455.40"
"2019","1205","D310","$562,560.25"
"2019","1205","D312","$4,000.00"
"2019","1205","D313","$3,047,810.84"
"2019","1205","D314","$10,857,195.03"
"2019","1205","D316","$6,513,179.92"
"2019","1205","D317","$1,354,519.81"
"2019","1205","D318","$44,320,259.05"
"2019","1205","D319","$14,922,445.45"
"2019","1205","D320","$531,519.39"
"2019","1205","D321","$2,921,656.09"
"2019","1205","D324","$1,268,669.88"
"2019","1205","D325","$5,967,117.54"
"2019","1205","D399","$290,777,242.36"
"2019","1205","F105","$143,932.00"
"2019","1205","F115","$0.00"
"2019","1205","G099","$18,294.92"
"2019","1205","H139","$255,905.60"
"2019","1205","H170","$1,298,455.92"
"2019","1205","H176","$43,860.00"
"2019","1205","H379","$2,500.00"
"2019","1205","H399","$41,300.00"
"2019","1205","H959","$532,000.25"
"2019","1205","H970","$17,166,875.43"
"2019","1205","J030","($113,689.90)"
"2019","1205","J035","$6,213,786.62"
"2019","1205","J038","$6,000.00"
"2019","1205","J045","$29,017.05"
"2019","1205","J049","$663,945.00"
"2019","1205","J052","$111,987.00"
"2019","1205","J061","$201,779.50"
"2019","1205","J070","$278,178.56"
"2019","1205","J071","$23,790.40"
"2019","1205","J074","$150,912.60"
"2019","1205","J075","$16,827.08"
"2019","1205","J079","$106,279.00"
"2019","1205","J099","$133,526.88"
"2019","1205","K041","$16,000.00"
"2019","1205","K063","$25,973.56"
"2019","1205","L059","$16,790.00"
"2019","1205","L070","$176,128.86"
"2019","1205","L099","$9,200,166.41"
"2019","1205","M1AA","$5,934,374.80"
"2019","1205","N012","($4,000.00)"
"2019","1205","N035","$49,149.72"
"2019","1205","N041","$84,892.00"
"2019","1205","N045","$16,779.40"
"2019","1205","N049","($113.89)"
"2019","1205","N056","$18,267.75"
"2019","1205","N059","$10,900.81"
"2019","1205","N060","$2,300.00"
"2019","1205","N061","$9,241.85"
"2019","1205","N063","$4,908.00"
"2019","1205","N071","$22,850.00"
"2019","1205","N099","$795,300.00"
"2019","1205","P500","$0.00"
"2019","1205","Q999","$0.00"
"2019","1205","R402","$2,500,000.00"
"2019","1205","R408","$8,717,411.22"
"2019","1205","R410","$230,700.00"
"2019","1205","R418","$3,429,044.26"
"2019","1205","R423","$314,182.44"
"2019","1205","R425","$9,235,282.65"
"2019","1205","R426","$118,762.80"
"2019","1205","R429","$219,955.52"
"2019","1205","R430","$2,139,257.43"
"2019","1205","R431","$903,181.48"
"2019","1205","R499","$53,571,729.75"
"2019","1205","R602","$470,672.00"
"2019","1205","R604","$479,551.51"
"2019","1205","R605","$5,300.00"
"2019","1205","R606","$4,134.55"
"2019","1205","R608","$192,582.92"
"2019","1205","R609","$20,000.00"
"2019","1205","R612","$134,610.96"
"2019","1205","R614","$5,910.00"
"2019","1205","R617","$8,988.00"
"2019","1205","R699","$7,467,038.13"
"2019","1205","R703","$790,033.42"
"2019","1205","R704","$2,159,698.38"
"2019","1205","R705","$1,496,731.50"
"2019","1205","R706","$59,453.82"
"2019","1205","R707","$1,757,598.19"
"2019","1205","R708","$1,410,642.34"
"2019","1205","R710","$2,296,492.96"
"2019","1205","R711","$0.00"
"2019","1205","R799","$8,836,665.05"
"2019","1205","S119","($1.00)"
"2019","1205","S201","$316,171.70"
"2019","1205","S203","$28,921.08"
"2019","1205","S205","$89,271.00"
"2019","1205","S206","$15,250,888.60"
"2019","1205","S209","$2,558.03"
"2019","1205","S214","$24,982.49"
"2019","1205","S222","$25,000.00"
"2019","1205","T006","$8,000.00"
"2019","1205","U001","$11,490.00"
"2019","1205","U002","$13,489.30"
"2019","1205","U005","$33,100.12"
"2019","1205","U006","$0.00"
